908597A,RN104992276,APAC-TEXAS INC,FRISCO PLANT,2015,COLLIN,4,2951,PAVING MIXTURES AND BLOCKS,3.729,0.746,0,0.66,0.083,0.098,1.006
AA0027U,RN102955150,EAGLE RAILCAR SERVICES LP,ELKHART RAILCAR,2015,ANDERSON,5,4789,TRANSPORTATION SERVICES & NEC,9.3969,5.4879,0,0.2988,0.2391,0.025,121.6338
AA0035V,RN100214501,ENERGY TRANSFER FUEL LP,BETHEL COMP STATION,2015,ANDERSON,5,4922,NATURAL GAS TRANSMISSION,13.4819,28.8988,0,1.7724,1.7724,0.1042,13.8543
AA0045S,RN100212042,MOSBACHER ENERGY COMPANY,RAM FIELD FACILITY,2015,ANDERSON,5,1311,CRUDE PETROLEUM & NATURAL GAS,1.7,0.7028,0,0.0425,0.0425,108.3417,3.6185
AA0064O,RN100542919,ATMOS ENERGY CORP,BETHEL STORAGE COMPRESSOR STATION,2015,ANDERSON,5,4922,NATURAL GAS TRANSMISSION,8.5486,25.4101,0,1.0007,1.0007,0.1023,4.0047
AA0069E,RN103093290,ENTERPRISE  PRODUCTS  OPERATING  LLC,BETHEL COMPRESSOR STATION,2015,ANDERSON,5,4922,NATURAL GAS TRANSMISSION,18.095,21.178,0,0.988,0.988,0.508,1.045
AA0096B,RN100222223,LEGACY RESERVES OPERATING LP,BETHEL GAS TREATING FACILITY,2015,ANDERSON,5,1311,CRUDE PETROLEUM & NATURAL GAS,138.246,36.607,0,1.934,1.934,0.659,4.575
AB0002C,RN100219641,DCP  MIDSTREAM LP,SOUTH FULLERTON BOOSTER STATION,2015,ANDREWS,7,1311,CRUDE PETROLEUM & NATURAL GAS,62.6938,143.4266,0,3.5534,3.1575,0.0795,24.0278
AB0011B,RN100219047,DCP  MIDSTREAM LP,ANDREWS BOOSTER,2015,ANDREWS,7,1311,CRUDE PETROLEUM & NATURAL GAS,130.4796,823.432,0,7.2455,7.2455,0.1095,50.5376
AB0012W,RN100218684,DCP  MIDSTREAM LP,FULLERTON GAS PLANT,2015,ANDREWS,7,1321,NATURAL GAS LIQUIDS,567.6945,1090.839,0,23.1147,23.1147,846.154,163.8358
AB0015Q,RN102523578,CHEVRON MIDCONTINENT LP,DOLLARHIDE GAS PLANT,2015,ANDREWS,7,1321,NATURAL GAS LIQUIDS,42.6036,181.4958,0,7.2019,7.2019,12.1207,36.49
AB0023R,RN100213594,PALMER OF TEXAS TANKS INC,ANDREWS PLANT,2015,ANDREWS,7,3089,PLASTICS PRODUCTS & NEC,0,0,0,0.0435,0.0435,0,29.3456
AB0032Q,RN100218460,DCP MIDSTREAM  LP,MARTIN BOOSTER STATION,2015,ANDREWS,7,1311,CRUDE PETROLEUM & NATURAL GAS,43.1332,53.6828,0,1.9396,1.9396,0.0693,38.8068
AB0033O,RN101061968,XTO ENERGY INC,MEANS GAS CONDITIONING FACILITY,2015,ANDREWS,7,1311,CRUDE PETROLEUM & NATURAL GAS,4.5932,3.1798,0,0.2022,0.2022,109.0741,3.5801
AB0164V,RN101702439,WASTE CONTROL SPECIALISTS INC,ANDREWS WASTE TREATMENT PLANT,2015,ANDREWS,7,4953,REFUSE SYSTEMS,0.1763,0.6801,0,5.3222,0.7708,0.0463,1.2636
AC0011N,RN101896439,GEORGIA-PACIFIC CHEMICALS LLC,LUFKIN RESIN PLANT,2015,ANGELINA,10,2821,PLASTICS MATERIALS AND SYNTHETIC RESINS,54.8893,4.2601,0,4.7039,4.7039,0.0319,41.0194
AC0015F,RN100221613,LUFKIN INDUSTRIES LLC,LUFKIN FOUNDRY & POWER TRANSMISSION DIVISIONS,2015,ANGELINA,10,3321,GRAY & DUCTILE IRON FOUNDRIES,9.3914,8.244,0,31.9482,0.556,1.338,39.8469
